# T  docc_ss  docc_bpk  docc_1  docc_2  hop
0.02000000 0.13594177 0.45501165 0.00000000 0.11375291 0.41922181
0.03655172 0.14607850 0.45501115 0.00000001 0.11375279 0.41922136
0.05310345 0.15410892 0.45495936 0.00000242 0.11374165 0.41917450
0.06965517 0.16031090 0.45441974 0.00004428 0.11363815 0.41867016
0.08620690 0.16498567 0.45241453 0.00026556 0.11330280 0.41669914
0.10275862 0.16845949 0.44804974 0.00089343 0.11268251 0.41216576
0.11931034 0.17101049 0.44103109 0.00214328 0.11186523 0.40451650
0.13586207 0.17285571 0.43163101 0.00414548 0.11101686 0.39392795
0.15241379 0.17416099 0.42040523 0.00693058 0.11029924 0.38111114
0.16896552 0.17505356 0.40794666 0.01044945 0.10982375 0.36698280
0.18551724 0.17563201 0.39476342 0.01460332 0.10964335 0.35239690
0.20206897 0.17597363 0.38125134 0.01927061 0.10976579 0.33800663
0.21862069 0.17613943 0.36770899 0.02432602 0.11017176 0.32423712
0.23517241 0.17617792 0.35436108 0.02965238 0.11082956 0.31131931
0.25172414 0.17612768 0.34137733 0.03514668 0.11170434 0.29934362
0.26827586 0.17601943 0.32888479 0.04072230 0.11276292 0.28831032
0.28482759 0.17587748 0.31697587 0.04630890 0.11397565 0.27816833
0.30137931 0.17572103 0.30571399 0.05185105 0.11531678 0.26884170
0.31793103 0.17556500 0.29513812 0.05730625 0.11676422 0.26024614
0.33448276 0.17542092 0.28526704 0.06264294 0.11829896 0.25229858
0.35103448 0.17529749 0.27610307 0.06783847 0.11990462 0.24492205
0.36758621 0.17520111 0.26763565 0.07287739 0.12156695 0.23804781
0.38413793 0.17513633 0.25984441 0.07774990 0.12327353 0.23161585
0.40068966 0.17510620 0.25270188 0.08245063 0.12501344 0.22557448
0.41724138 0.17511255 0.24617573 0.08697760 0.12677713 0.21987956
0.43379310 0.17515624 0.24023063 0.09133138 0.12855619 0.21449354
0.45034483 0.17523739 0.23482967 0.09551445 0.13034326 0.20938453
0.46689655 0.17535551 0.22993551 0.09953067 0.13213188 0.20452541
0.48344828 0.17550964 0.22551157 0.10338486 0.13391654 0.19989306
0.50000000 0.17569850 0.22155647 0.10708618 0.13570375 0.19546054
0.51724138 0.17593050 0.21778870 0.11077412 0.13752777 0.19105983
0.53448276 0.17619655 0.21445313 0.11430919 0.13934518 0.18684151
0.55172414 0.17649457 0.21147954 0.11769475 0.14114095 0.18279841
0.56896552 0.17682242 0.20883564 0.12093777 0.14291224 0.17891804
0.58620690 0.17717790 0.20649150 0.12404514 0.14465673 0.17518938
0.60344828 0.17755883 0.20441952 0.12702354 0.14637254 0.17160273
0.62068966 0.17796307 0.20259433 0.12987943 0.14805816 0.16814941
0.63793103 0.17838854 0.20099272 0.13261902 0.14971244 0.16482165
0.65517241 0.17883322 0.19959346 0.13524822 0.15133453 0.16161243
0.67241379 0.17929519 0.19837722 0.13777270 0.15292383 0.15851537
0.68965517 0.17977261 0.19732640 0.14019782 0.15447996 0.15552463
0.70689655 0.18026374 0.19642501 0.14252865 0.15600274 0.15263487
0.72413793 0.18076693 0.19565852 0.14477001 0.15749214 0.14984113
0.74137931 0.18128065 0.19501378 0.14692646 0.15894829 0.14713885
0.75862069 0.18180345 0.19447885 0.14900227 0.16037142 0.14452376
0.77586207 0.18233398 0.19404293 0.15100151 0.16176186 0.14199190
0.79310345 0.18287099 0.19369621 0.15292798 0.16312004 0.13953954
0.81034483 0.18341331 0.19342985 0.15478529 0.16444643 0.13716320
0.82758621 0.18395987 0.19323582 0.15657682 0.16574157 0.13485960
0.84482759 0.18450967 0.19310687 0.15830578 0.16700605 0.13262566
0.86206897 0.18506179 0.19303642 0.15997517 0.16824049 0.13045845
0.87931034 0.18561540 0.19301854 0.16158784 0.16944551 0.12835523
0.89655172 0.18616971 0.19304784 0.16314645 0.17062180 0.12631339
0.91379310 0.18672403 0.19311946 0.16465353 0.17177001 0.12433045
0.93103448 0.18727771 0.19322898 0.16611147 0.17289085 0.12240408
0.94827586 0.18783015 0.19337248 0.16752250 0.17398500 0.12053205
0.96551724 0.18838082 0.19354764 0.16888895 0.17505362 0.11871218
0.98275862 0.18892925 0.19373973 0.17022016 0.17610005 0.11694021
1.00000000 0.18947499 0.19348921 0.17191184 0.17730618 0.11508258
